Res_Newton,Res_Grid,Res_Real,Newton_Error,Grid_Error
0.16389044397028774,0.16389044150024398,0.163890443970287653317631370735,8.249107937881679e-17,2.470043670375778e-09
0.17059588837274284,0.17059588819816277,0.17059588837274322832801347721,3.9064826156226276e-16,1.7458046326876201e-10
0.11058391481604812,0.11058391481368966,0.11058391481604802699259267426,9.634923684900995e-17,2.358364299762179e-12
0.06684122567010366,0.06684122540647004,0.0668412256701036955976510757431,3.836725907326801e-17,2.636336533059e-10
0.15355116908224406,0.1535511658438157,0.153551169082244012208600697955,4.781820880882527e-17,3.2384283109911775e-09
0.09845149095717545,0.0984514899028887,0.098451490957175429568943768796,2.3054018783799686e-17,1.0542867320659632e-09
0.12862068146405947,0.12862068108442393,0.128620681464059341625061911392,1.3037388890073005e-16,3.7963541484846764e-10
0.16527032555609383,0.16527032500692868,0.16527032555609376611546115421,6.723691678778218e-17,5.491650905557691e-10
0.15946496147020975,0.15946495908589253,0.159464961470209733043608536447,1.538506393289796e-17,2.384317200501547e-09
0.24571560200960926,0.24571560078685883,0.245715602009609138181471514641,1.2483080819716103e-16,1.2227503038557728e-09
0.2840177105591046,0.2840177025439049,0.284017710559104668167670296178,9.341531654049404e-17,8.015199764056554e-09
0.06736487021656228,0.0673648701299325,0.0673648702165622343847319592756,4.097763886703927e-17,8.662973182207897e-11
0.12092111121223313,0.12092111014818518,0.120921111212233068985651911885,6.265198699354672e-17,1.0640478843228018e-09
0.11813627347496805,0.11813627280654457,0.118136273474968011395854730442,3.9582407382506876e-17,6.684234436475223e-10
0.15175158286961515,0.1517515810839782,0.151751582869615155868872925898,2.231873332097407e-18,1.785636946094785e-09
0.21422284515606554,0.21422284145654927,0.214222845156065634103305824693,8.965586235303922e-17,3.699516366312074e-09
0.09259152329518319,0.09259152315540535,0.0925915232951831220141259321692,7.034055888803307e-17,1.3977777173807774e-10
0.13843673529247158,0.13843673389083444,0.138436735292471488734498117952,9.120443512806052e-17,1.401637048481894e-09
0.17719056517268528,0.17719056185619347,0.17719056517268524307736133142,3.39848531502824e-17,3.3164917694219093e-09
0.09796445419447783,0.09796445364652537,0.0979644541944777657734161734012,6.332308284854238e-17,5.47952397859805e-10
0.13419153224247524,0.13419153000843054,0.134191532242475271854629205834,3.526311238742611e-17,2.2340447344972735e-09
0.08402090248136226,0.08402090244380682,0.0840209024813619236695018586179,3.403553648453307e-16,3.7555104509691286e-11
0.17311125758242915,0.17311125653486126,0.173111257582429154554408001431,3.4848605997555605e-18,1.0475678970266282e-09
0.1418404468220926,0.14184044434212564,0.141840446822092484982671550864,1.1237383009116132e-16,2.4799668416427026e-09
0.17089992973430967,0.17089992873785886,0.170899929734309643399447786617,3.12010198012627e-17,9.96450779551927e-10
0.2243112545373022,0.22431124735655533,0.224311254537302166917953639956,2.351917770401337e-17,7.180746834718264e-09
0.12177533149594669,0.1217753304745894,0.121775331495946484169347565077,2.0287439344290582e-16,1.021357087535026e-09
0.11570600636742215,0.11570600560418633,0.115706006367422215986448264138,6.759108524007294e-17,7.63235889356825e-10
0.13414457917739278,0.1341445776851697,0.134144579177392998806714623716,2.1788465228066379e-16,1.4922232852188607e-09
0.10774315961455701,0.10774315665923642,0.107743159614556949718273905661,5.780131240123726e-17,2.9553205276724517e-09
0.1680782951294016,0.168078291928163,0.168078295129401528947287540398,6.027789453833663e-17,3.201238519497384e-09
0.0814430031536478,0.08144300301883786,0.0814430031536477530642080997104,4.967453790908895e-17,1.3480989131359634e-10
0.13751680958339726,0.1375168092934422,0.137516809583397276812219366316,1.2018772031974589e-17,2.899550719809823e-10
0.12374249814642874,0.12374249739719748,0.123742498146428612049576380625,1.24522201636981e-16,7.492311358440993e-10
0.17536962827244373,0.17536962631639008,0.175369628272443132207603958588,6.016553246801127e-16,1.9560530507301674e-09
0.1370489870315135,0.13704898454965023,0.137048987031513502135352294691,4.876424580661876e-18,2.481863275330168e-09
0.12608695299118244,0.12608695290164557,0.126086952991182524559094306326,8.074178583906624e-17,8.953695865369685e-11
0.10881357846049683,0.10881357714099218,0.108813578460496740952528064599,8.829518866782609e-17,1.3195045561417865e-09
0.22552587970770435,0.22552587816170755,0.225525879707704325752006616563,2.624318337868697e-17,1.5459967765554714e-09
0.23057136985912027,0.23057136353322558,0.23057136985912036699224111912,9.383198326672406e-17,6.325894790788863e-09
